Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6466636811464398,0.4911402634201459,0.5408001063628242,0.5045925465643722
Naive Bayes,0.7171965965069413,0.4619489856665293,0.4279647368557196,0.3760465709131548
SVM,0.7057769816390506,0.4740206347191603,0.4422001619823626,0.443481022171336
LSTM,0.6867313981056213,0.6421667751498106,0.6867313915857605,0.6600039470702246
CNN,0.707659125328064,0.6263112842219211,0.7076591154261057,0.6569064034689671
